TYPE,PATH,LINE,STATUS,inlining-008000,inlining-016000,inlining-032000,inlining-064000,inlining-128000,inlining-256000,summary-001000,summary-002000,summary-004000,summary-008000,summary-016000,summary-032000,summary-064000,POPULARITY
Assigning value to const variable,external/llvm/lib/CodeGen/LiveDebugVariables.cpp,417,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,/usr/include/c++/4.8/bits/vector.tcc,211,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/lib/Support/FoldingSet.cpp,333,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/mesa3d/src/glsl/glsl_symbol_table.cpp,94,Unknown,,,,,,,,+,,,,+,+,3
Assigning value to const variable,external/llvm/lib/Target/TargetData.cpp,419,Unknown,,,,,,,,+,,+,,+,,3
Assigning value to const variable,external/clang/include/clang/Basic/Diagnostic.h,939,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/clang/lib/Sema/SemaCodeComplete.cpp,2230,Unknown,,,,,,,,+,+,+,+,,+,5
Assigning value to const variable,frameworks/compile/slang/BitWriter_2_9_func/ValueEnumerator.cpp,465,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/skia/include/core/SkRefCnt.h,59,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/lib/Linker/LinkModules.cpp,101,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/lib/Support/ManagedStatic.cpp,54,Unknown,,,,,,,,+,,,,,,1
Integer overflow,external/tinyxml2/tinyxml2.cpp,1544,Unknown,,,,,,,,+,,+,+,+,+,5
Integer overflow,external/e2fsprogs/lib/ext2fs/alloc.c,127,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Core/BugReporter.cpp,2066,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/dbus/dbus/dbus-string.c,1425,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/lib/Transforms/Utils/SSAUpdater.cpp,68,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/lib/Target/X86/X86ISelLowering.cpp,10996,Unknown,,,,,,,,+,,,,+,,2
Assigning value to const variable,external/llvm/lib/CodeGen/MachineInstr.cpp,67,Unknown,,,,,,,,+,+,,,,+,3
Assigning value to const variable,external/llvm/lib/Analysis/ScalarEvolution.cpp,4782,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/mesa3d/src/glsl/glsl_symbol_table.cpp,104,Unknown,,,,,,,,+,+,+,+,+,,5
Integer overflow,hardware/invensense/mlsdk/mllite/mlsupervisor.c,401,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/include/llvm/CodeGen/PBQP/Solution.h,55,Unknown,,,,,,,,+,,,+,,,2
Assigning value to const variable,external/llvm/lib/Support/raw_ostream.cpp,333,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/lib/MC/ELFObjectWriter.cpp,1233,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/e2fsprogs/lib/ext2fs/bitmaps.c,83,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/e2fsprogs/lib/ext2fs/bitmaps.c,83,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/dbus/dbus/dbus-string.c,411,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/lib/Analysis/AliasSetTracker.cpp,131,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/include/llvm/Use.h,194,Unknown,,,,,,,,+,+,,,,,2
Assigning value to const variable,external/skia/src/core/SkScalerContext.cpp,139,Unknown,,,,,,,,+,,+,+,+,,4
Integer overflow,external/llvm/lib/Transforms/InstCombine/InstCombineCasts.cpp,1078,Unknown,,,,,,,,+,,,,,,1
Assigning value to const variable,external/chromium/base/memory/ref_counted.h,282,Unknown,,,,,,,,+,+,,,+,+,4
Integer overflow,external/llvm/lib/Analysis/ValueTracking.cpp,1167,Unknown,,,,,,,,+,,+,,+,+,4
Assigning value to const variable,bionic/libc/bionic/pthread.c,1002,Unknown,,,,,,,,+,,+,+,,,3
Integer overflow,external/llvm/lib/VMCore/Constants.cpp,2290,Unknown,,,,,,,,+,,+,+,,,3
Assigning value to const variable,external/clang/include/clang/AST/StmtIterator.h,61,Unknown,,,,,,,,+,,,,,+,2
Assigning value to const variable,external/llvm/lib/CodeGen/MachineModuleInfo.cpp,314,Unknown,,,,,,,,+,+,,+,+,+,5
Integer overflow,external/llvm/include/llvm/ADT/DenseMap.h,415,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/skia/src/core/SkWriter32.cpp,91,Unknown,,,,,,,,+,,+,,,+,3
Assigning value to const variable,external/llvm/lib/Linker/LinkModules.cpp,292,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/stlport/stlport/stl/_vector.c,192,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,frameworks/compile/slang/BitWriter_2_9/ValueEnumerator.cpp,465,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,/usr/include/c++/4.8/bits/vector.tcc,470,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/e2fsprogs/lib/ext2fs/initialize.c,339,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/clang/lib/Basic/DiagnosticIDs.cpp,658,Unknown,,,,,,,,+,,,,,,1
Integer overflow,external/llvm/lib/Transforms/Scalar/ScalarReplAggregates.cpp,989,Unknown,,,,,,,,+,,+,+,,+,4
Integer overflow,external/llvm/lib/Support/APFloat.cpp,3078,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/icu4c/i18n/tznames_impl.cpp,159,TP,,,,,,,,+,,,,,,1
Assigning value to const variable,external/llvm/lib/VMCore/Attributes.cpp,147,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,/usr/include/c++/4.8/bits/vector.tcc,195,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/include/llvm/ADT/ImmutableSet.h,322,Unknown,,,,,,,,+,,,,,,1
Assigning value to const variable,dalvik/vm/JniInternal.h,94,Unknown,,,,,,,,+,,,,,,1
Assigning value to const variable,external/clang/lib/Lex/TokenLexer.cpp,97,Unknown,,,,,,,,+,+,+,+,,,4
Assigning value to const variable,external/llvm/lib/Support/raw_ostream.cpp,487,Unknown,,,,,,,,+,+,,+,,+,4
Assigning value to const variable,external/clang/lib/AST/VTableBuilder.cpp,2369,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,/usr/include/c++/4.8/bits/vector.tcc,335,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/clang/lib/Serialization/ASTWriter.cpp,1724,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/dbus/dbus/dbus-marshal-header.c,829,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/webkit/Source/WebCore/platform/sql/SQLiteStatement.cpp,125,Unknown,,,,,,,,+,,,+,,,2
Integer overflow,external/llvm/lib/Transforms/InstCombine/InstCombineCasts.cpp,390,FP,,,,,,,,+,+,,+,+,,4
Integer overflow,external/chromium/net/http/http_response_headers.cc,718,Unknown,,,,,,,,+,,,,,,1
Integer overflow,external/openssl/crypto/asn1/a_set.c,123,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/lib/Support/APFloat.cpp,2764,Unknown,,,,,,,,+,,,+,,,2
Assigning value to const variable,external/llvm/lib/CodeGen/PHIElimination.cpp,239,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Frontend/AnalysisConsumer.cpp,715,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/clang/lib/CodeGen/CGDebugInfo.cpp,1512,Unknown,,,,,,,,+,+,+,,,+,4
Assigning value to const variable,external/stlport/stlport/stl/_vector.c,154,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/icu4c/i18n/ucol_tok.cpp,1515,Unknown,,,,,,,,+,,+,+,+,+,5
Assigning value to const variable,external/dbus/dbus/dbus-hash.c,1692,Unknown,,,,,,,,+,,,+,,+,3
Integer overflow,external/chromium/base/file_path.cc,318,Unknown,,,,,,,,+,+,,+,,,3
Assigning value to const variable,external/llvm/include/llvm/ADT/DenseMap.h,658,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/DAGCombiner.cpp,4759,Unknown,,,,,,,,+,,+,,+,+,4
Assigning value to const variable,external/icu4c/i18n/ucln_in.c,54,Unknown,,,,,,,,+,,,,+,,2
Assigning value to const variable,/usr/include/c++/4.8/bits/stl_vector.h,939,Unknown,,,,,,,,+,+,+,,+,+,5
Assigning value to const variable,external/llvm/lib/Support/raw_ostream.cpp,330,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,system/core/include/cutils/atomic-x86.h,71,Unknown,,,,,,,,+,,,,,,1
Assigning value to const variable,external/llvm/lib/Transforms/Utils/PromoteMemoryToRegister.cpp,495,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/include/llvm/ADT/ImmutableMap.h,89,Unknown,,,,,,,,+,,,,,+,2
Assigning value to const variable,external/clang/lib/Basic/SourceManager.cpp,658,TP,,,,,,,,+,+,+,,,,3
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,186,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/include/llvm/CodeGen/MachineOperand.h,339,Unknown,,,,,,,,+,,,,+,+,3
Integer overflow,external/llvm/lib/VMCore/Constants.cpp,2125,Unknown,,,,,,,,+,,,+,,+,3
Assigning value to const variable,external/dbus/dbus/dbus-string.c,545,Unknown,,,,,,,,+,+,+,,,+,4
Assigning value to const variable,external/mesa3d/src/glsl/glcpp/glcpp-lex.c,2105,Unknown,,,,,,,,+,,+,+,,+,4
Integer overflow,external/llvm/lib/Transforms/InstCombine/InstCombineCasts.cpp,1074,Unknown,,,,,,,,+,,,,,,1
Assigning value to const variable,external/stlport/stlport/stl/_vector.c,193,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/include/llvm/ADT/IntervalMap.h,488,Unknown,,,,,,,,+,+,,,+,,3
Assigning value to const variable,/usr/include/c++/4.8/bits/vector.tcc,522,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/icu4c/i18n/zonemeta.cpp,797,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/stlport/stlport/stl/_tree.c,368,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/v8/src/runtime.cc,6967,Unknown,,,,,,,,+,+,+,+,+,,5
Assigning value to const variable,dalvik/vm/analysis/Liveness.cpp,231,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/lib/Target/TargetData.cpp,429,Unknown,,,,,,,,+,,,+,,+,3
Assigning value to const variable,external/stlport/stlport/stl/_construct.h,146,Unknown,,,,,,,,+,,,,,,1
Integer overflow,external/llvm/include/llvm/Support/MathExtras.h,90,Unknown,,,,,,,,+,,,,+,+,3
Integer overflow,external/qemu/distrib/zlib-1.2.3/inflate.c,358,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/stlport/stlport/stl/_vector.c,158,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/clang/lib/Sema/SemaExprObjC.cpp,719,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/lib/CodeGen/LexicalScopes.cpp,109,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/sqlite/dist/sqlite3.c,62505,Unknown,,,,,,,,+,,,,,,1
Assigning value to const variable,external/clang/lib/CodeGen/CGObjCMac.cpp,5669,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/webkit/Source/WebKit/android/content/address_detector.cpp,303,Unknown,,,,,,,,+,+,,+,+,+,5
Assigning value to const variable,external/llvm/lib/CodeGen/MachineRegisterInfo.cpp,144,Unknown,,,,,,,,+,,+,+,+,+,5
Integer overflow,external/llvm/lib/Target/X86/X86ISelLowering.cpp,8931,Unknown,,,,,,,,+,,,+,+,+,4
Assigning value to const variable,external/webkit/Source/WebCore/platform/text/StringWithDirection.h,47,Unknown,,,,,,,,+,,,,+,,2
Assigning value to const variable,external/icu4c/i18n/ucol_tok.cpp,1520,Unknown,,,,,,,,+,,+,+,+,+,5
Integer overflow,external/openssh/buffer.c,88,Unknown,,,,,,,,+,+,,+,+,+,5
Assigning value to const variable,external/clang/lib/AST/RecordLayoutBuilder.cpp,2467,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/include/llvm/GlobalVariable.h,153,Unknown,,,,,,,,+,,+,+,,,3
Integer overflow,system/extras/ext4_utils/allocate.c,681,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,system/extras/ext4_utils/indirect.c,494,Unknown,,,,,,,,+,+,,,,+,3
Integer overflow,external/qemu/distrib/zlib-1.2.3/deflate.c,545,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/LegalizeIntegerTypes.cpp,1848,Unknown,,,,,,,,+,,,,,,1
Assigning value to const variable,external/stlport/stlport/stl/_vector.h,615,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/icu4c/i18n/ucol_tok.cpp,1517,Unknown,,,,,,,,+,,+,+,+,+,5
Integer overflow,hardware/ril/mock-ril/src/cpp/js_support.cpp,116,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/include/llvm/ADT/DenseMap.h,585,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,/usr/include/c++/4.8/bits/vector.tcc,680,Unknown,,,,,,,,+,,,,,,1
Assigning value to const variable,external/icu4c/i18n/decNumber.c,973,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/lib/Transforms/Scalar/LoopStrengthReduce.cpp,1339,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/include/llvm/ADT/ilist.h,418,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/clang/lib/Sema/SemaObjCProperty.cpp,1491,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,/usr/include/c++/4.8/bits/stl_vector.h,1338,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/SelectionDAGBuilder.cpp,701,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/include/llvm/ADT/ArrayRef.h,120,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/include/llvm/DerivedTypes.h,418,Unknown,,,,,,,,+,,+,+,+,+,5
Assigning value to const variable,/usr/include/c++/4.8/bits/stl_vector.h,1353,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/LegalizeVectorTypes.cpp,1495,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,/usr/include/c++/4.8/bits/vector.tcc,194,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/stlport/stlport/stl/_tree.c,378,Unknown,,,,,,,,+,,,,,,1
Integer overflow,external/webkit/Source/WebCore/rendering/RenderBlock.cpp,5517,Unknown,,,,,,,,+,+,+,,+,+,5
Integer overflow,external/regex-re2/re2/regexp.cc,224,Unknown,,,,,,,,+,,,,,,1
Assigning value to const variable,external/llvm/lib/Linker/LinkModules.cpp,289,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/LegalizeVectorTypes.cpp,2616,Unknown,,,,,,,,+,,,+,,+,3
Assigning value to const variable,external/llvm/lib/CodeGen/MachineRegisterInfo.cpp,106,Unknown,,,,,,,,+,+,+,+,,+,5
Integer overflow,external/qemu/fpu/softfloat.c,1818,Unknown,,,,,,,,+,,,,,,1
Assigning value to const variable,external/llvm/include/llvm/ADT/SmallVector.h,392,Unknown,,,,,,,,+,+,+,+,+,+,6
Integer overflow,external/libxml2/xmlstring.c,45,Unknown,,,,,,,,+,+,+,,,,3
Integer overflow,external/speex/libspeex/smallft.c,1247,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/lib/CodeGen/MachineLICM.cpp,1204,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/icu4c/common/cmemory.c,42,Unknown,,,,,,,,+,,,+,,+,3
Integer overflow,external/llvm/lib/Transforms/Scalar/Reassociate.cpp,1157,Unknown,,,,,,,,+,+,+,,,+,4
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/ObjCARC.cpp,1585,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/icu4c/common/uresbund.c,1213,Unknown,,,,,,,,+,,,,,,1
Integer overflow,external/qemu/fpu/softfloat.c,3182,Unknown,,,,,,,,+,,+,,,,2
Assigning value to const variable,external/llvm/lib/CodeGen/MachineLICM.cpp,723,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/clang/lib/AST/ASTContext.cpp,2674,Unknown,,,,,,,,+,,,+,+,+,4
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Checkers/IdempotentOperationChecker.cpp,323,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Frontend/AnalysisConsumer.cpp,704,Unknown,,,,,,,,+,+,+,+,+,+,6
Assigning value to const variable,external/llvm/include/llvm/CodeGen/PBQP/HeuristicSolver.h,64,Unknown,,,,,,,,+,,,,,,1
Integer overflow,external/clang/lib/Serialization/ASTReader.cpp,4607,Unknown,,,,,,,,,+,,,+,,2
Assigning value to const variable,external/llvm/include/llvm/ADT/IntervalMap.h,1015,Unknown,,,,,,,,,+,+,,,+,3
Integer overflow,external/webkit/Source/WebCore/platform/graphics/skia/GradientSkia.cpp,109,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/valgrind/main/coregrind/m_debuginfo/readpdb.c,1335,TP,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/srec/shared/src/CircularBuffer.c,100,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/clang/lib/Sema/SemaStmtAsm.cpp,307,Unknown,,,,,,,,,+,,+,+,+,4
Assigning value to const variable,external/clang/lib/AST/ExprConstant.cpp,585,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,frameworks/compile/libbcc/bcinfo/BitReader_3_0/BitcodeReader.h,205,Unknown,,,,,,,,,+,+,+,,,3
Integer overflow,external/dropbear/libtommath/bn_fast_s_mp_sqr.c,93,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/llvm/lib/Target/ARM/ARMBaseInstrInfo.cpp,723,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/openssl/crypto/err/err.c,737,Unknown,,,,,,,,,+,+,,,,2
Assigning value to const variable,external/openssl/crypto/mem.c,302,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/llvm/utils/TableGen/CodeGenDAGPatterns.cpp,1415,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/icu4c/i18n/ucol.cpp,832,Unknown,,,,,,,,,+,+,,,,2
Assigning value to const variable,external/openssl/crypto/err/err.c,735,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/lib/Bitcode/Writer/ValueEnumerator.cpp,202,Unknown,,,,,,,,,+,+,+,,,3
Assigning value to const variable,external/llvm/include/llvm/ADT/BitVector.h,475,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/include/llvm/ADT/StringMap.h,367,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/sqlite/dist/sqlite3.c,125649,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/llvm/include/llvm/Bitcode/BitstreamWriter.h,525,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/llvm/include/llvm/Analysis/AliasSetTracker.h,423,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/lib/CodeGen/MachineInstr.cpp,1189,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Core/CoreEngine.cpp,589,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/include/llvm/ADT/BitVector.h,378,Unknown,,,,,,,,,+,+,,+,,3
Assigning value to const variable,external/llvm/lib/Analysis/ScalarEvolution.cpp,4919,Unknown,,,,,,,,,+,+,,+,+,4
Assigning value to const variable,external/llvm/include/llvm/CodeGen/SelectionDAGNodes.h,264,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/icu4c/i18n/ucol.cpp,6445,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/skia/src/core/SkWriter32.cpp,87,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/clang/lib/AST/DeclBase.cpp,942,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/llvm/lib/VMCore/PassRegistry.cpp,66,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/stlport/stlport/stl/char_traits.h,232,Unknown,,,,,,,,,+,,+,,,2
Assigning value to const variable,external/skia/src/core/SkPaint.cpp,135,Unknown,,,,,,,,,+,,,,,1
Integer overflow,external/llvm/lib/Analysis/ConstantFolding.cpp,564,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/clang/lib/AST/DeclBase.cpp,1053,Unknown,,,,,,,,,+,,+,,+,3
Integer overflow,external/ipsec-tools/src/racoon/oakley.c,3303,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/icu4c/common/uresbund.c,808,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/ipsec-tools/src/racoon/oakley.c,3305,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/openssl/crypto/ex_data.c,205,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,bionic/libc/bionic/pthread.c,1023,Unknown,,,,,,,,,+,,+,+,+,4
Integer overflow,external/v8/src/objects-inl.h,4493,Unknown,,,,,,,,,+,,,,,1
Integer overflow,external/dbus/dbus/dbus-string.c,848,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/include/llvm/CodeGen/SelectionDAGNodes.h,285,Unknown,,,,,,,,,+,+,+,,,3
Assigning value to const variable,external/sqlite/dist/sqlite3.c,20852,Unknown,,,,,,,,,+,+,+,+,,4
Assigning value to const variable,frameworks/base/libs/androidfw/ResourceTypes.cpp,782,Unknown,,,,,,,,,+,,,,,1
Integer overflow,external/dbus/dbus/dbus-string.c,1563,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/sqlite/dist/sqlite3.c,13346,Unknown,,,,,,,,,+,+,+,+,,4
Assigning value to const variable,external/llvm/lib/VMCore/Attributes.cpp,141,Unknown,,,,,,,,,+,,+,,+,3
Integer overflow,external/stlport/stlport/stl/_alloc.h,347,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/dbus/dbus/dbus-dataslot.c,174,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/llvm/lib/Support/Statistic.cpp,80,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/qemu/exec.c,1857,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/include/llvm/ADT/ilist_node.h,32,Unknown,,,,,,,,,+,,,+,+,3
Assigning value to const variable,external/openssl/crypto/err/err.c,297,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/clang/lib/AST/ASTContext.cpp,2661,Unknown,,,,,,,,,+,,+,+,+,4
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,185,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/srec/srec/cfront/frontobj.c,446,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/lib/Support/SmallPtrSet.cpp,38,Unknown,,,,,,,,,+,,,+,,2
Assigning value to const variable,external/llvm/include/llvm/CodeGen/PBQP/HeuristicSolver.h,72,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/llvm/include/llvm/CodeGen/JITCodeEmitter.h,95,Unknown,,,,,,,,,+,,+,+,,3
Integer overflow,external/llvm/lib/Analysis/ConstantFolding.cpp,200,Unknown,,,,,,,,,+,+,,,+,3
Integer overflow,external/qemu/android/utils/stralloc.c,87,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/stlport/stlport/stl/_tree.c,73,Unknown,,,,,,,,,+,,,,+,2
Assigning value to const variable,external/llvm/include/llvm/ADT/BitVector.h,486,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/llvm/lib/Support/FoldingSet.cpp,212,Unknown,,,,,,,,,+,+,,,,2
Assigning value to const variable,external/clang/lib/AST/Expr.cpp,3549,Unknown,,,,,,,,,+,,+,+,+,4
Assigning value to const variable,external/openssl/crypto/cryptlib.c,315,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/skia/src/core/SkGlyphCache.h,226,Unknown,,,,,,,,,+,+,,+,,3
Integer overflow,external/chromium/net/base/registry_controlled_domain.cc,209,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/text/StringImplBase.h,38,Unknown,,,,,,,,,+,,+,,,2
Assigning value to const variable,external/clang/lib/Sema/SemaObjCProperty.cpp,1441,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,/usr/include/c++/4.8/bits/char_traits.h,243,Unknown,,,,,,,,,+,+,+,+,,4
Integer overflow,external/qemu/android/camera/camera-service.c,915,Unknown,,,,,,,,,+,,+,,+,3
Integer overflow,external/dbus/dbus/dbus-string.c,913,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/LegalizeDAG.cpp,1519,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/llvm/include/llvm/CodeGen/JITCodeEmitter.h,234,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/llvm/include/llvm/ADT/IntervalMap.h,825,Unknown,,,,,,,,,+,,,+,,2
Assigning value to const variable,external/clang/lib/AST/DeclBase.cpp,1051,Unknown,,,,,,,,,+,,+,,+,3
Assigning value to const variable,external/webkit/Source/WebCore/platform/graphics/android/layers/Layer.cpp,90,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/llvm/lib/VMCore/Globals.cpp,170,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/openssl/ssl/s3_pkt.c,1515,Unknown,,,,,,,,,+,,,,,1
Integer overflow,external/dbus/dbus/dbus-string.c,617,Unknown,,,,,,,,,+,,,+,,2
Assigning value to const variable,external/llvm/lib/MC/MCContext.cpp,233,Unknown,,,,,,,,,+,,,+,,2
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/LegalizeIntegerTypes.cpp,2718,Unknown,,,,,,,,,+,+,,,,2
Assigning value to const variable,external/llvm/include/llvm/ADT/SmallPtrSet.h,90,Unknown,,,,,,,,,+,,+,,,2
